Keywords,Title,cluster,categorie
ea management methods modeling language business process model no tation,A Modeling Language for Describing Enterprise,0,architecture software
sda scl fpga fsm one hot encoding,A Novel Architecture of I2C Slave using One-Hot Encoding Technique,0,architecture software
service oriented architecture mobile phones dynamical services invocation,A Pluggable Architectural Model and a Formally Specified Programming Language Independent API for an Ontological Knowledge Base Server,0,architecture software
software architecture description languages rewriting logic maude contracts,A Rewriting Semantics for a Software Architecture Description Language,0,architecture software
architectural description languages security multiagent systems,A Secure Architectural Description Language for Agent Systems,0,architecture software
language engineering nlp architecture uima,A Survey of Text Mining Architectures and the UIMA Standard,0,architecture software
actor based systems cloud computing web scraping data analysis,Actor-based architecture for Cloud Services Orchestration the case of social media data extraction,0,architecture software
software architecture behaviour modelling architectural pattern,ALanguage for Behavioural Modelling of Architectural Patterns,0,architecture software
robot control architecture domain specic modelling language decision process decomposition,AModeling Language for Communicating Architectural Solutions in the Domain of Robot Control,0,architecture software
distributed systems computer networks communications software requirements specification systems modeling rapid prototyping,An Abstract Communication Model,0,architecture software
software architecture architectural style architecture description languages testing,An Approach to Architectural Analysis and Testing,0,architecture software
architectural description language multi agent systems security bdi agent model software architecture,An Architectural Description Language for Secure Multi-Agent Systems,0,architecture software
architecture description languages specification languages dynamic architectures mobile architectures calculus,An Architecture Description Language based on the Higher Order Typed,0,architecture software
eai architecture evolution adl soa web services architecture centric approach,AN ARCHITECTURE-CENTRIC APPROACH FOR MANAGING THE EVOLUTION OF EAI SERVICES-ORIENTED ARCHITECTURE,0,architecture software
aspect oriented programming software architecture xyzadl aspect oriented architecture description language introduction,An Aspect-oriented Software Architecture Description Language AO-ADL Based on XYZ,0,architecture software
structured analysis structured design dfd structure chart islamic inheritance system,An Effective Software Architecture of Islamic Inheritance System Employing Structured Paradigm,0,architecture software
golomb rice algorithm data compression image processing vhdl,AN EFFICIENT HARDWARE IMPLEMENTATION OF DATA COMPRESSION USING MODIFIED GOLOMB RICE CODING ARCHITECTURE,0,architecture software
software architecture design decisions design rationale,An Ontology of Architectural Design Decisions in Software-Intensive Systems,0,architecture software
sdl sdl pattern design pattern framework object oriented embedded software controller msc,An SDL Framework for X-ray Spectrometer Software,0,architecture software
software architecture architectural style  style alloy alloy analyzer cruise control system,Analysis_of_a_Complex_Architectural_Styl,0,architecture software
software architecture architectural style style analysis,Analyzing Architectural Styles with Alloy,0,architecture software
software architecture component architectural style adl corba static invo cation arwin,AnArchitectural Perspective of the static invocation in CORBA,0,architecture software
constraint based constructions construction grammar grammatical constructions,AnInformal Sketch of a Formal Architecture for Construction Grammar,0,architecture software
gis webgis ogc wms wfs framework semantic,An_architecture_for_open_and_scalable_WebGIS,0,architecture software
retargetability adl isa simulator low power,An_Energy-oriented_Retargetable_Simulator_for_Inst,0,architecture software
fpga image denoising impulse noise impulse detector xilinx,An_FPGA_Based_Image_Denoising_Arc,0,architecture software
chens chaotic system chaotic communication fpga vhdl,An_FPGA_real-time_implementation_of_the_Chens_cha,0,architecture software
aspect oriented software architectures adls connectors connector templates,AO_ADL_An_ADL_for_Describing_Aspect_Orie,0,architecture software
source code architecture mappings,APreliminaryStudyontheUseofKeywordsforSource CodetoArchitectureMappings,0,architecture software
architecture adl interface co evolution bidi rectional traceability predicate coordination,Archface A Contract Place Where Architectural Design and Code Meet Together,0,architecture software
programming in the large reection software architecture,"Architectural Reflection Concepts, Design, and Evaluation",0,architecture software
dynamic software architectures architectural styles graphs term rewriting,ArchitecturalDesignRewriting asanArchitectureDescriptionLanguage,0,architecture software
rewriting logic high level specication simulation design environment,Architectural_Specification_Exploration,0,architecture software
nomadic applications architecture description languages interaction specifications service binding,Architectural_Support_for_Managing_Nomad,0,architecture software
web services service oriented architecture architectural transformation software re engineering architectural transformation calculus re engineering methodology,ARCHITECTURAL_TRANSFORMATION_AND_RE-_ENGINEERING_F,0,architecture software
news archive architecture multilingual information retrieval,ARCHITECTURE DESIGN AND APPLICATION FOR AN INTELLIGENT DISTRIBUTED NEWS ARCHIVE,0,architecture software
software architecture architecture description language acme quality attributes response time throughput,Architecture Level Prediction of Software Quality Attributes,0,architecture software
cloud applications architecture description languages cloud adl dynamic reconguration specication to deployment environment,Architecture-Driven Engineering of Cloud-Based Applications,0,architecture software
multi agent systems software architecture architecture description language object oriented petri nets bdi model,Architecture_description_language_based_on_object-,0,architecture software
technical design cots ontology architecture style,Architecture_Reconstruction_from_Code_for_Business,0,architecture software
uml software architecture formal methods real time,ArchiTRIO A UML-Compatible Language for Architectural Description and Its Formal Semantics,0,architecture software
architecture language bigraphs brs installation,Article_Model_Checking_BRS_based_AADL_Specificatio,0,architecture software
access control information flow software architecture condentiality analysis automation,AUnified Model to Detect Information Flow and Access Control Violations in Software Architecture,0,architecture software
interface natural language content based retrieval,AZILE_an_intelligent_verbal_interface_fo,0,architecture software
text generation graphics generation coordination multi media,A_common_intention_description_language,0,architecture software
formal language archaeology buildings ontology multi vocality,A_Formal_Language_for_the_Description_of,0,architecture software
webrtc multiparty videoconferencing systems signaling specification description language sdl message sequence chart msc model validation,A_New_Architecture_for_Multiparty_Web_Re,0,architecture software
use case diagram  assessment label matching structure matching automated assessment graph generator diagram assessment computer assisted assessment,A_Proposed_Architecture_for_Automated_As,0,architecture software
service oriented architecture semantic web match making algorithm educational resources web services,A_Semantic_Based_Efficient_Retrieval_of,0,architecture software
course management system cms service oriented architecture soa software agents software integration web services,A_Service_Oriented_Architecture_to_Integ,0,architecture software
domain specific languages systematic mapping study programming languages mini languages little languages,A_Systematic_Mapping_Study_on_Domain_Spe,0,architecture software
uml rt hcl rtist xtext qvto model transforma tion model synchronization blended modelling,Blended Graphical and Textual Modelling of UML-RT state-machines an industrial experience,0,architecture software
software architecture architecture description uml adl ieee sadl advanced separation concerns mdsoc views viewpoints concern space,"Bridging the Gap between IEEE 1471, Architecture Description Languages and",0,architecture software
aal service context server three layered context model,Building_aal_services_using_the_mileo_context_server,0,architecture software
business process architecture domain model method,Business Process Architecture Design Based on Domain Models,0,architecture software
architecture enterprise architecture business process architecture,Business process architecture in the context of enterprise architecture a survey,0,architecture software
adl cheddar real time systems validation simulation,Cheddar_Architecture_Description_Languag,0,architecture software
cloud computing multi agent architecture soa,Cloud Computing Integrated into Service-Oriented Multi-Agent Architecture,0,architecture software
architecture recovery digital twin architectural design system landscape recovery,Co-evolving Digital Architecture Twins,0,architecture software
architecture description language high level abstraction component connector configuration interface,"COMPARISON OF FIVE ARCHITECTURE DESCRIPTION LANGUAGES ON DESIGN FOCUS, SECURITY AND STYLE",0,architecture software
component based development,Composing Software Components at Architectural Level,0,architecture software
refinement transformation consistency evolution adl uml,Consistent Architectural Refinement and Evolution using the Unified Modeling Language,0,architecture software
software architecture modeling meta modeling model driven engineering component based systems,COSA AN ARCHITECTURAL DESCRIPTION META-MODEL,0,architecture software
cycle accurate simulator hardware architecture de scription language pipeline modeling,Cycle_accurate_simulator_generator_using_Harmless,0,architecture software
web service software architecture iasa composition component orchestration,Dealing With Web Services Composition at the Architectural Level,0,architecture software
deep modeling structural decomposition renements nmeta modeling language,DeepModeling_TechReport,0,architecture software
service oriented computing service engineering strategic alignment business it alignment description language meta modeling,Definition of a Description Language for Business Service Decomposition,0,architecture software
software architectures delta modeling dsl development dsl reuse,Delta-oriented Architectural Variability Using MontiCore,0,architecture software
architecture derivation goal orientation requirements engineering refinement patterns non functional requirements architecture description languages,Deriving_Architectural_Descriptions_from,0,architecture software
uml based notation uml profiles software process architecture architecture description language,DESCRIBING SOFTWARE-INTENSIVE PROCESS ARCHITECTURES USING A UML-BASED ADL,0,architecture software
software architecture reference architecture architectural design learning management systems quality attributes evaluation software architecture,"Describing, Instantiating and Evaluating a Reference Architecture A Case Study",0,architecture software
critical systems real time programming design methodology,DESIGN OF REAL-TIME AUTOMATION SYSTEMS USING ARCHITECTURE DESCRIPTION LANGUAGES,0,architecture software
language transformations high level synthesis vhdl simulation,Design Procedure Based on VHDL Language Transformations,0,architecture software
bio inspired computing distributed arithmetic finite impulse response mac parallel filters processor architecture systolic array,Design_and_implementation_of_DA_FIR_filt,0,architecture software
artificial neural network hardware description language field programmable gate arrays fpgas sigmoid activation function,Design_Artificial_Neural_Network_Using_FPGA,0,architecture software
openrisc amba ahb system chip ahb master wishbone,Design_of_AMBA_AHB_interface_around_Open,0,architecture software
software architecture language jacal adl architectural problems detection solu tion,Detecting_and_Solving_Architectural_Prob,0,architecture software
modeling abstraction adl autosar,"Developing Automotive Products Using the EAST ADL2, an AUTOSAR Compliant Architecture Description Language",0,architecture software
software architecture architecture description language domain domain specic lan guage architectural domain,Domains of Concern in Software Architectures,0,architecture software
architecture decision support system dss framework knowledge system language system presentation system problem processing system,DSS_Architecture_and_Types,0,architecture software
software architecture formal language evolution scenarios enterprise information system,DYNAMIC ARCHITECTURE BASED EVOLUTION OF ENTERPRISE INFORMATION SYSTEMS,0,architecture software
internet things model driven engineering architecture description language,Efficiently Engineering IoT Architecture Languages An Experience Report,0,architecture software
embedded architecture description language components architectural patterns platform verication reuse hardwaresoftware co design co simulation co verication co synthesis,Embedded architecture description language,0,architecture software
labview fpga rapid hardware implementation position control fpga digital pid controller,Embedded Servomotor Control Based on  RIO Architecture,0,architecture software
components component language component composition component fragment connections,ENGINEERING A COMPONENT LANGUAGE COMPJAVA,0,architecture software
quantum architectural description language software architecture quantum computing hybrid quantum application,Engineering Reliable Hybrid Quantum Software An Architectural-driven Approach,0,architecture software
software architecture adls metrics assessment model composition,Evaluating Composition Techniques for Architectural Specifications A Comparative Study,0,architecture software
matching hence considered poor method it cannot tackle problems synonyms student answers takes account order  deal lexical variability,Evaluating_Student_Descriptive_Ans,0,architecture software
adl dynamic conguration architectures behaviour applications component conguration,Evaluation_and_comparison_of_ADL_based_a,0,architecture software
architecture evolution versioning atl transformation parameterized transformation emfgmf introduction,Evolving_and_Versioning_Software_Archite,0,architecture software
multi agent systems software architecture description language bigraphical reactive system formal specification,Formal Specification of Multi-Agent System Architecture,0,architecture software
business processes web services bpmn wsdl sca meta model components mdd,Formalizing the conceptualization of services and their relationships with software components,0,architecture software
hardwaresoftware co design unified modeling language uml model driven architecture mda,From_UML_to_HDL_a_model_driven_architect,0,architecture software
aspect oriented software development component based software development unication,FuseJ An architectural description language for unifying aspects and components,0,architecture software
model transformation metamodeling meta transformation generic transformation,Generic_and_Meta_transformations_for_Mod,0,architecture software
software architecture design evolution architectural style restructuring graph transformation,Guiding Architectural Restructuring through Architectural Styles,0,architecture software
non functional requirements software architecture decision making requirements engineering,Handling Non-Functional Requirements in Software Architecture,0,architecture software
ldpc ms sp hardware iterative design latency fsm synthesis vhdl,Hardware Architecture for LDPC code using Min Sum Algorithm,0,architecture software
hardware description language verilog vhdl logical design modeling simulation introduction,"HARDWARE DESCRIPTION LANGUAGES, A COMPARATIVE APPROACH",0,architecture software
hardware description edge detection sobel algorithm vhdl fpga,Hardware_Description_of_Multi-Directional_Fast_Sob,0,architecture software
hardware architecture description language instruction set,"Harmless, a Hardware Architecture Description Language Dedicated to Real-Time Embedded System Simulation",0,architecture software
matlab hdl coder hdl code generation dct shift multipliers,HDL_Code_Generation_of_Efficient_DCT_Architecture_Using_MATLAB_HDL_Coder,0,architecture software
parallel simulation hardware description languages design automation standards vhdl vhdl ams verilog,High-Performance_Hardware_Description_Language_Spe,0,architecture software
co creativity natural language processing user interface writing tools user study,How Novelists Use Generative Language Models AnExploratory User Study,0,architecture software
aadl behavioral annex revised rewriting logic real time maude,How_to_Make_AADL_Specification_More_Precise,0,architecture software
collaborative multi expert systems coordination agent knowledge provision distributed case bases,Implementing a Coordination Agent for Modularised Case Bases,0,architecture software
user system service broker lab server ilab rlab introduction when applied within science technology st curricula experimentation supposed,Implementing-Remote-Laboratories-with-the-iLab-Architecture-Three-Case-Studies-from-Obafemi-Awolowo-University-Nigeria,0,architecture software
software architecture metadata digital library architecture greenstone digital library software,Importing documents and metadata into digital libraries Requirements analysis and an extensible architecture,0,architecture software
software architecture distributed systems software analysis,Improving Architectural Description Languages to Support Analysis Better,0,architecture software
software architecture modelling architecture ontology architectural style description logics,Information and Software Technology,0,architecture software
instruction set simulation hardware architecture descrip tion language,Instruction_Set_Simulator_Generation_Using_HARMLES,0,architecture software
policy driven management rbac cdsa policy description language,Integrating Policy-Driven Role Based Access Control With The Common Data Security Architecture,0,architecture software
enterprise architecture uml business process,investigating-the-mapping-of-an-enterprise-description-language-into-uml-2-0,0,architecture software
architecture description language cloud computing gis iot model driven development soaml,IOT-ADL An ADL for describing cloud IoT applications,0,architecture software
cad cultural heritage modelling architecture building software,ISPRS Journal of Photogrammetry and Remote Sensing,0,architecture software
dysam dynamic software architecture dsa operational semantics  framework,K-Maude Definition of Dynamic Software Architecture,0,architecture software
extraction from specification documents planning security mechanisms,Keyword Extraction From Specification Documents for Planning Security Mechanisms,0,architecture software
system architecture architecture structure architecture descrip tion language computer science system software engineering univer sity teaching,Languages of 1 A rchitectural S oftware E D escription in ngineering,0,architecture software
rest service description semantic web mashups web applications,MICROSERVICES Lightweight Service Descriptions for REST Architectural Style,0,architecture software
architectural software design text mining natural language requirements,Mining_textual_requirements_to_assist_ar,0,architecture software
conceptual modeling data protection system,Model Driven Approach for Designing of Information Security System,0,architecture software
database database management system dbms structured query language sql natural language interface architecture models extensibility portability,Model-Based Architecture for Building Natural Language   Interface to Oracle Database,0,architecture software
software architecture sat based synthesis architectural styles mdd alloy language,"Model-Driven Synthesis of Formally Precise, Stylized Software Architectures",0,architecture software
real time systems multicore model driven development architecture,Modeling and Simulation of Embedded Real-Time Multicore Systems,0,architecture software
aspect oriented formal methods uml rapide,Modeling Performance as an Aspect a UML Based Approach,0,architecture software
component connector dynamic reconguration self adaptive systems,Modeling-Dynamic-Architectures-of-Self-Adaptive-Cooperative-Systems,0,architecture software
its reference architecture sysml architecture modelling,ModellingtheC-ITSarchitecturesC-MobILEcasestudy,0,architecture software
architecture synthesis formal specification requirements safety secu rity capacity deps,"Models of requirements for avionics architecture synthesis safety, capacity and security",0,architecture software
model based software domain engineering domain specificity transformations,Model_Based_Software_Development_Issues,0,architecture software
software architecture software architecture description languages,Moving architectural description from under the technology lamppost,0,architecture software
software architecture architecture description language,Multi-View Architecture Description and Enforcement,0,architecture software
multirobot system interoperability environment representation soa,Multirobot_system_architecture_envi,0,architecture software
knowledge representation software architecture meta modeling my meta model components connectors architectures,My_Architecture_A_Knowledge_Representati,0,architecture software
fuzzy db fsql first fsql serve gefred received march accepted may introduction,New Architecture of Fuzzy Database  Management Systems,0,architecture software
eam metrics ecore operators language,On the computation of Enterprise Architecture Managemnet KPIs- essential operators and Ecore supporting languages,0,architecture software
software architecture architecture analysis language structural behavioral properties modal calculus,ON THE CORRECTNESS OF SOFTWARE ARCHITECTURES,0,architecture software
complex network data analysis object oriented metrics software engineering,On the Relations among Object-Oriented Software Metrics,0,architecture software
architecture description concerns variation features,On_representing_variation,0,architecture software
canny edge detector block based processing histogram equalization fpga,Parallel_Block_Based_Architecture,0,architecture software
adaptive digital filters lms algorithm dlms algorithm performance evaluation fpga,Performance_Evaluation_of_LMS_and_DLMS_Digital_Ada,0,architecture software
web service soap restful soa android wsdl rest introduction soa architectural style figure building software applications use services available network web  it promotes loose,PERFORMANCE_EVALUATION_OF_RESTFUL_WEB_SE,0,architecture software
software product line adl pl aspectualacme,PL AspectualACME_An_Aspect Oriented_Architectural_,0,architecture software
software architecture software engineering architectural knowledge,Pragmatic_Applications_of_Architectural,0,architecture software
software assessment tools software assurance software metrics software security target practice reference dataset vulnerability,"Proceedings of Workshop on Software Security Assurance Tools, Techniques, and Metrics",0,architecture software
ontology question answering qa semantic web web data web scrapping,Proposed Architecture for Efficient and Intelligent Question Answering System that Uses Semantic Web and Ontology,0,architecture software
knowledge management system knowledge sharing banking organization performance,PROPOSING A KNOWLEDGE MANAGEMENT SYSTEM (KMS) ARCHITECTURE TO PROMOTE KNOWLEDGE SHARING AMONG EMPLOYEES,0,architecture software
quality models quality evaluation software architecture,Quality_Evaluation_based_on_Architecture_Analysis,0,architecture software
fpga reprogrammable on board computer rad hard,"RAD-HARD, IN FLIGHT, REPROGRAMMABLE FIELD PROGRAMMABLE GATE ARRAY (FPGA) ARCHITECTURE FOR SATELLITE COMPUTERS",0,architecture software
feature interaction formal methods intelligent network lotos language temporal ordering specication service architecture service feature telecommunications,Realising architectural feature descriptions using LOTOS,0,architecture software
software architecture non functional attributes acme wright response time throughput reliability security availability maintainability,Reasoning About Quantitative Architectural Attributes,0,architecture software
convolution discrete filters digital architecture fpga,Reconfigurable Digital FPGA Based Architecture,0,architecture software
sequence alignment dynamic programming hardware reconfigurable architectures,Reconfigurable systems for sequence alignment and for general dynamic programming,0,architecture software
agile software development design decisions architecture knowledge documentation instant messag ing chatbot natural language processing,Recording Software Design Decisions on the Fly,0,architecture software
model representation hierarchy connector architecture,REPRESENTATION AND REASONING MODELS FOR C3 ARCHITECTURE DESCRIPTION LANGUAGE,0,architecture software
web service wsa qos,Reviews on Service-oriented Architecture Service Model,0,architecture software
cscw groupware web services,SAGA_A_web_services_architecture_for_gro,0,architecture software
service creation value added service,SCDL  Service creation description language for IIS architecture,0,architecture software
oer ocw mooc linked data linked oer data integration reuse openness categories     ,Seeking Open Educational Resources to Compose Massive Open Online Courses in Engineering Education An Approach Based on Linked Open Data,0,architecture software
concept synonymous,Self-adaptive Systems Driven by Runtime Models,0,architecture software
semantic interpretation drawing understanding,Semantic Interpretation of Architectural Drawings,0,architecture software
semantic web services integration gateway jade agents owl  workow invocation,Semantic_Enhancement_of_a_Web_Service_Integration_,0,architecture software
building information modelling as built bim parametric modelling procedural modelling historic building information modelling laser scanning photogrammetry,SEMI-AUTOMATIC GENERATION OF AS-BUILT BIM FAÇADE,0,architecture software
hbim bim laser scanning parametric modelling procedural modelling shape grammars architectural,SEMI-AUTOMATIC MODELLING OF BUILDING FAÇADES WITH SHAPE GRAMMARS USING HISTORIC BUILDING INFORMATION MODELLING,0,architecture software
education system service oriented architecture web services scorm,SERVICE ORIENTED ARCHITECTURE ADOPTION IN E-EDUCATION SYSTEM,0,architecture software
soa web services xml wsdl,Service-Oriented Architecture (SOA) and Web Services,0,architecture software
simulation grid computing soa netallted,Service-Oriented_Architecture_for_Grid-Enabled_Com,0,architecture software
multi core simulator cycle accurate do main specic language,SMASim A Cycle-accurate Scalable Multi-core Architecture Simulator,0,architecture software
gradient operator sobel edge detection digital image processing fpga,Sobel_Edge_Detection_using_Parallel_Arch,0,architecture software
aadl fault tolerance reuse patterns,Software Dependability Modeling Using  An Industry-Standard Architecture Description Languag,0,architecture software
architectural viewpoints software language engineering domain specific modeling tool support,Software Language Engineering of  Architectural Viewpoints,0,architecture software
software metrics software architecture design patterns anti patterns constraint satisfaction,Software Metrics by Architectural Pattern Mining,0,architecture software
in context application  kwic builds list permutations input sentences form,Software_Architecture_An_Overview_of_the_State,0,architecture software
semantic web sensors services ontology introduction,Survey_of_semantic_extensions_to_UDDI_im,0,architecture software
board aircraft electric power generation distribution system safety model based system synthesis constraint programming verification introduction,Synthesis of software architecture for the control of embedded electrical generation and distribution system for aircraft under safety constraints The case of simple failures,0,architecture software
model driven engineering architectural programming action languages software language composition,Systematic-Language-Extension-Mechanisms-for-the-MontiArc-Architecture-Description-Language,0,architecture software
web service temporal logical service oriented architecture xyzadl,Temporal Logical-based Web Services Architecture Description,0,architecture software
software architecture research paradigms,The Coming-of-Age of Software Architecture Research,0,architecture software
void used the this used broadcast services this shows service sent several ports as providing components services use unique port protocol communicate components architecture different samples type,The Design and Construction of Architecture Description Language for Distributed Software,0,architecture software
requirements engineering architectural,The Journal of Systems and Software,0,architecture software
dynamic software architectures architectural reflection,The K-Component Architecture Meta-Model for Self-Adaptive Software,0,architecture software
prolog logic programming system,The Language Features and Architecture of B Prolog,0,architecture software
architecture computer architecture model based development architecture design language computer system engineering computer modelling aadl architecture analysis design language,The SAE Architecture Analysis & Design Language (AADL) A Standard for Engineering Performance Critical Systems,0,architecture software
architecture description language systemc isa simulator compiled simulation,The_ArchC_Architecture_Description_Langu,0,architecture software
adl description dependability internet scaled software,Toward anArchitecture Description Language for Dependability of Internet-Scaled Software Entities,0,architecture software
enterprise modeling business process enterprise application integration architectural description language architectural styles,TOWARDS A BUSINESS PROCESS FORMALISATION BASED ON AN ARCHITECTURE CENTRED APPROACH,0,architecture software
mobile context cloud context mobile cloud computing mobile cloud architecture mobile cloud architecture evolution mobile cloud middleware context awareness,Towards a Mobile Cloud Context_Aware Middleware,0,architecture software
rewriting semantics architecture description languages model checking,Towards a Rewriting Semantics for a Software Architecture Description Language,0,architecture software
software architecture abstractions software architecture description architectural modeling architectural viewpoint architectural view adl uml connector component configuration,Towards a UML Profile for Software Architecture,0,architecture software
gestures recognition classication formal specication,Towards a Unified Gesture Description Language,0,architecture software
uml rt hcl rtist xtext blended modelling textual modelling graphical modelling,Towards automated support for blended modelling of UML-RTembeddedsoftware architectures,0,architecture software
variability resolution architecture derivation software product lines model transformations atlas transformation language,Towards the Automatic Resolution of Architectural Variability in Software Product Line Architectures through Model Transformations,0,architecture software
aspect oriented software architecture visual modeling uml,Towards_an_integrated_aspect_oriented_mo,0,architecture software
model based development timing analysis east adl uppaal model transformation mdworkbench mql timed automata formal methods model checking,Towards_the_Integration_of_EAST_ADL_and,0,architecture software
smart cyber physical systems autonomic components component coalitions component ensembles architecture description language,Trait-based Language for Smart Cyber-Physical System,0,architecture software
secure cloud computing cryptographic protocols veriable outsourcing secure computa tion,Twin Clouds An Architecture for Secure Cloud Computing,0,architecture software
ontology mpeg natural language interface semantics,User_Interactions_with_Multimedia_Repositories_usi,0,architecture software
enterprise architecture ontology domain integration archimate owl,Using_Ontologies_for_Enterprise_Architec,0,architecture software
context sensitive user interface device independence modality in dependence model driven architecture model to model transformation render ing independence user interface description language,USIXML a User Interface Description Language for Specifying Multimodal User Interfaces,0,architecture software
systems of systems emergent behaviors model trans formations software architecture,Validating Emergent Behaviors in Systems-of-Systems through Model Transformations,0,architecture software
uml proles architectural validation,Validating_UML_models_against_architectu,0,architecture software
architectural description multiple,Views and Viewpoints in Software Systems Architecture,0,architecture software
xml web services qos capacity planning,Web Services Planning Concepts,0,architecture software
software environments software architec tures architecture description language adl off the shelf tool integration xml,xADL Enabling Architecture-Centric Tool Integration With XML,0,architecture software
